count_title_uni,count_unique_title_uni,ratio_of_unique_title_uni,count_title_bi,count_unique_title_bi,ratio_of_unique_title_bi,count_title_tri,count_unique_title_tri,ratio_of_unique_title_tri,count_body_uni,count_unique_body_uni,ratio_of_unique_body_uni,count_body_bi,count_unique_body_bi,ratio_of_unique_body_bi,count_body_tri,count_unique_body_tri,ratio_of_unique_body_tri,count_of_title_uni_in_body,ratio_of_title_uni_in_body,count_of_title_bi_in_body,ratio_of_title_bi_in_body,count_of_title_tri_in_body,ratio_of_title_tri_in_body,len_sent_title,len_sent_body,label
10,10,1.0,10,10,1.0,10,10,1.0,99,89,0.898989898989899,130,109,0.8384615384615385,99,89,0.898989898989899,5.0,0.5,7.0,0.7,5.0,0.5,74,1391,fake
7,7,1.0,7,7,1.0,7,7,1.0,2339,1335,0.5707567336468576,3186,1026,0.3220338983050847,2339,1335,0.5707567336468576,6.0,0.8571428571428571,6.0,0.8571428571428571,6.0,0.8571428571428571,76,34255,fake
8,8,1.0,8,8,1.0,8,8,1.0,143,121,0.8461538461538461,195,127,0.6512820512820513,143,121,0.8461538461538461,7.0,0.875,7.0,0.875,7.0,0.875,70,2083,fake
8,8,1.0,10,10,1.0,8,8,1.0,61,58,0.9508196721311475,73,65,0.8904109589041096,61,58,0.9508196721311475,3.0,0.375,4.0,0.4,3.0,0.375,86,788,fake
10,10,1.0,11,10,0.9090909090909091,10,10,1.0,238,200,0.8403361344537815,323,201,0.6222910216718266,238,200,0.8403361344537815,7.0,0.7,10.0,0.9090909090909091,7.0,0.7,110,3635,fake
5,5,1.0,6,6,1.0,5,5,1.0,211,155,0.7345971563981043,268,157,0.585820895522388,211,155,0.7345971563981043,4.0,0.8,5.0,0.8333333333333334,4.0,0.8,43,2776,fake
9,9,1.0,10,10,1.0,9,9,1.0,99,86,0.8686868686868687,125,97,0.776,99,86,0.8686868686868687,5.0,0.5555555555555556,7.0,0.7,5.0,0.5555555555555556,101,1309,fake
7,7,1.0,7,7,1.0,7,7,1.0,121,116,0.9586776859504132,150,139,0.9266666666666666,121,116,0.9586776859504132,3.0,0.42857142857142855,3.0,0.42857142857142855,3.0,0.42857142857142855,54,1630,fake
4,4,1.0,5,5,1.0,4,4,1.0,78,64,0.8205128205128205,107,77,0.719626168224299,78,64,0.8205128205128205,2.0,0.5,5.0,1.0,2.0,0.5,40,1129,fake
7,7,1.0,8,8,1.0,7,7,1.0,217,150,0.6912442396313364,311,149,0.4790996784565916,217,150,0.6912442396313364,4.0,0.5714285714285714,8.0,1.0,4.0,0.5714285714285714,56,3238,fake
9,9,1.0,9,9,1.0,9,9,1.0,133,116,0.8721804511278195,159,133,0.8364779874213837,133,116,0.8721804511278195,4.0,0.4444444444444444,5.0,0.5555555555555556,4.0,0.4444444444444444,84,1821,fake
8,8,1.0,9,9,1.0,8,8,1.0,117,97,0.8290598290598291,163,105,0.6441717791411042,117,97,0.8290598290598291,6.0,0.75,7.0,0.7777777777777778,6.0,0.75,78,1736,fake
7,7,1.0,8,8,1.0,7,7,1.0,15,14,0.9333333333333333,20,16,0.8,15,14,0.9333333333333333,5.0,0.7142857142857143,8.0,1.0,5.0,0.7142857142857143,60,224,fake
2,2,1.0,4,4,1.0,2,2,1.0,189,166,0.8783068783068783,239,175,0.7322175732217573,189,166,0.8783068783068783,0.0,0.0,2.0,0.5,0.0,0.0,44,2466,fake
5,5,1.0,6,6,1.0,5,5,1.0,140,119,0.85,180,127,0.7055555555555556,140,119,0.85,2.0,0.4,5.0,0.8333333333333334,2.0,0.4,49,1775,fake
10,10,1.0,11,11,1.0,10,10,1.0,155,134,0.864516129032258,219,146,0.6666666666666666,155,134,0.864516129032258,4.0,0.4,7.0,0.6363636363636364,4.0,0.4,84,2404,fake
2,2,1.0,2,2,1.0,2,2,1.0,264,211,0.7992424242424242,333,226,0.6786786786786787,264,211,0.7992424242424242,2.0,1.0,2.0,1.0,2.0,1.0,18,3399,fake
9,9,1.0,10,10,1.0,9,9,1.0,133,113,0.849624060150376,164,125,0.7621951219512195,133,113,0.849624060150376,5.0,0.5555555555555556,8.0,0.8,5.0,0.5555555555555556,83,1722,fake
7,6,0.8571428571428571,9,8,0.8888888888888888,7,6,0.8571428571428571,120,110,0.9166666666666666,161,120,0.7453416149068323,120,110,0.9166666666666666,2.0,0.2857142857142857,8.0,0.8888888888888888,2.0,0.2857142857142857,74,1726,fake
8,8,1.0,9,9,1.0,8,8,1.0,96,92,0.9583333333333334,133,115,0.8646616541353384,96,92,0.9583333333333334,3.0,0.375,6.0,0.6666666666666666,3.0,0.375,57,1286,fake
2,2,1.0,4,4,1.0,2,2,1.0,63,59,0.9365079365079365,122,78,0.639344262295082,63,59,0.9365079365079365,1.0,0.5,3.0,0.75,1.0,0.5,34,1180,fake
1,1,1.0,1,1,1.0,1,1,1.0,12,12,1.0,13,13,1.0,12,12,1.0,0.0,0.0,0.0,0.0,0.0,0.0,12,164,fake
10,10,1.0,11,11,1.0,10,10,1.0,533,420,0.7879924953095685,669,425,0.6352765321375187,533,420,0.7879924953095685,7.0,0.7,9.0,0.8181818181818182,7.0,0.7,92,7034,fake
2,2,1.0,3,3,1.0,2,2,1.0,5,5,1.0,9,9,1.0,5,5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,31,122,fake
6,6,1.0,7,7,1.0,6,6,1.0,105,94,0.8952380952380953,131,112,0.8549618320610687,105,94,0.8952380952380953,2.0,0.3333333333333333,2.0,0.2857142857142857,2.0,0.3333333333333333,58,1436,fake
2,2,1.0,2,2,1.0,2,2,1.0,86,85,0.9883720930232558,170,127,0.7470588235294118,86,85,0.9883720930232558,0.0,0.0,0.0,0.0,0.0,0.0,26,1782,fake
6,6,1.0,6,6,1.0,6,6,1.0,15,15,1.0,18,18,1.0,15,15,1.0,3.0,0.5,3.0,0.5,3.0,0.5,58,156,fake
7,7,1.0,8,8,1.0,7,7,1.0,408,300,0.7352941176470589,539,293,0.5435992578849722,408,300,0.7352941176470589,4.0,0.5714285714285714,7.0,0.875,4.0,0.5714285714285714,58,5882,fake
12,11,0.9166666666666666,13,12,0.9230769230769231,12,11,0.9166666666666666,307,250,0.8143322475570033,391,263,0.6726342710997443,307,250,0.8143322475570033,8.0,0.6666666666666666,12.0,0.9230769230769231,8.0,0.6666666666666666,112,4232,fake
13,13,1.0,14,13,0.9285714285714286,13,13,1.0,341,271,0.7947214076246334,463,275,0.593952483801296,341,271,0.7947214076246334,9.0,0.6923076923076923,13.0,0.9285714285714286,9.0,0.6923076923076923,112,4730,fake
8,8,1.0,8,8,1.0,8,8,1.0,18,17,0.9444444444444444,32,24,0.75,18,17,0.9444444444444444,0.0,0.0,0.0,0.0,0.0,0.0,83,859,fake
5,5,1.0,5,5,1.0,5,5,1.0,187,157,0.839572192513369,237,163,0.6877637130801688,187,157,0.839572192513369,5.0,1.0,5.0,1.0,5.0,1.0,54,2496,fake
14,13,0.9285714285714286,14,13,0.9285714285714286,14,13,0.9285714285714286,217,186,0.8571428571428571,281,196,0.697508896797153,217,186,0.8571428571428571,11.0,0.7857142857142857,14.0,1.0,11.0,0.7857142857142857,130,3278,fake
18,15,0.8333333333333334,18,15,0.8333333333333334,18,15,0.8333333333333334,8,8,1.0,11,11,1.0,8,8,1.0,0.0,0.0,0.0,0.0,0.0,0.0,200,134,fake
9,9,1.0,10,10,1.0,9,9,1.0,115,103,0.8956521739130435,140,119,0.85,115,103,0.8956521739130435,4.0,0.4444444444444444,5.0,0.5,4.0,0.4444444444444444,100,1531,fake
10,10,1.0,10,10,1.0,10,10,1.0,323,252,0.7801857585139319,417,249,0.5971223021582733,323,252,0.7801857585139319,5.0,0.5,7.0,0.7,5.0,0.5,79,4581,fake
5,5,1.0,6,6,1.0,5,5,1.0,128,111,0.8671875,160,125,0.78125,128,111,0.8671875,5.0,1.0,6.0,1.0,5.0,1.0,52,1687,fake
8,8,1.0,9,9,1.0,8,8,1.0,227,184,0.8105726872246696,303,195,0.6435643564356436,227,184,0.8105726872246696,4.0,0.5,8.0,0.8888888888888888,4.0,0.5,87,3533,fake
8,8,1.0,8,8,1.0,8,8,1.0,662,464,0.7009063444108762,893,441,0.49384098544232924,662,464,0.7009063444108762,7.0,0.875,8.0,1.0,7.0,0.875,67,9396,fake
9,9,1.0,9,9,1.0,9,9,1.0,339,258,0.7610619469026548,417,260,0.6235011990407674,339,258,0.7610619469026548,0.0,0.0,0.0,0.0,0.0,0.0,82,4434,fake
9,9,1.0,10,10,1.0,9,9,1.0,89,71,0.797752808988764,128,86,0.671875,89,71,0.797752808988764,3.0,0.3333333333333333,8.0,0.8,3.0,0.3333333333333333,88,1424,fake
12,12,1.0,12,12,1.0,12,12,1.0,16,14,0.875,22,14,0.6363636363636364,16,14,0.875,0.0,0.0,0.0,0.0,0.0,0.0,97,186,fake
10,10,1.0,10,10,1.0,10,10,1.0,125,106,0.848,157,119,0.7579617834394905,125,106,0.848,8.0,0.8,8.0,0.8,8.0,0.8,80,1624,fake
6,6,1.0,7,7,1.0,6,6,1.0,99,92,0.9292929292929293,123,103,0.8373983739837398,99,92,0.9292929292929293,1.0,0.16666666666666666,3.0,0.42857142857142855,1.0,0.16666666666666666,58,1299,fake
7,7,1.0,7,7,1.0,7,7,1.0,156,125,0.8012820512820513,213,129,0.6056338028169014,156,125,0.8012820512820513,4.0,0.5714285714285714,7.0,1.0,4.0,0.5714285714285714,70,2269,fake
7,7,1.0,8,8,1.0,7,7,1.0,33,32,0.9696969696969697,54,43,0.7962962962962963,33,32,0.9696969696969697,0.0,0.0,1.0,0.125,0.0,0.0,64,543,fake
1,1,1.0,1,1,1.0,1,1,1.0,4,4,1.0,8,4,0.5,4,4,1.0,0.0,0.0,0.0,0.0,0.0,0.0,7,59,fake
7,7,1.0,8,8,1.0,7,7,1.0,53,49,0.9245283018867925,73,61,0.8356164383561644,53,49,0.9245283018867925,5.0,0.7142857142857143,8.0,1.0,5.0,0.7142857142857143,78,725,fake
6,6,1.0,6,6,1.0,6,6,1.0,133,110,0.8270676691729323,151,115,0.7615894039735099,133,110,0.8270676691729323,2.0,0.3333333333333333,2.0,0.3333333333333333,2.0,0.3333333333333333,49,1553,fake
6,6,1.0,7,7,1.0,6,6,1.0,162,134,0.8271604938271605,209,153,0.7320574162679426,162,134,0.8271604938271605,5.0,0.8333333333333334,6.0,0.8571428571428571,5.0,0.8333333333333334,95,2357,fake
3,3,1.0,3,3,1.0,3,3,1.0,24,23,0.9583333333333334,32,29,0.90625,24,23,0.9583333333333334,0.0,0.0,0.0,0.0,0.0,0.0,16,329,fake
10,10,1.0,10,10,1.0,10,10,1.0,172,143,0.8313953488372093,208,154,0.7403846153846154,172,143,0.8313953488372093,9.0,0.9,10.0,1.0,9.0,0.9,84,2162,fake
6,6,1.0,8,8,1.0,6,6,1.0,116,106,0.9137931034482759,142,121,0.852112676056338,116,106,0.9137931034482759,4.0,0.6666666666666666,6.0,0.75,4.0,0.6666666666666666,89,1597,fake
12,12,1.0,14,14,1.0,12,12,1.0,303,234,0.7722772277227723,400,237,0.5925,303,234,0.7722772277227723,10.0,0.8333333333333334,13.0,0.9285714285714286,10.0,0.8333333333333334,126,4417,fake
8,8,1.0,9,9,1.0,8,8,1.0,250,186,0.744,314,194,0.6178343949044586,250,186,0.744,5.0,0.625,9.0,1.0,5.0,0.625,60,3569,fake
4,4,1.0,5,5,1.0,4,4,1.0,58,48,0.8275862068965517,79,52,0.6582278481012658,58,48,0.8275862068965517,3.0,0.75,5.0,1.0,3.0,0.75,38,870,fake
7,7,1.0,7,7,1.0,7,7,1.0,149,124,0.8322147651006712,196,132,0.673469387755102,149,124,0.8322147651006712,6.0,0.8571428571428571,7.0,1.0,6.0,0.8571428571428571,62,2062,fake
10,9,0.9,11,10,0.9090909090909091,10,9,0.9,201,181,0.900497512437811,254,194,0.7637795275590551,201,181,0.900497512437811,5.0,0.5,9.0,0.8181818181818182,5.0,0.5,108,2941,fake
6,6,1.0,7,6,0.8571428571428571,6,6,1.0,145,119,0.8206896551724138,180,130,0.7222222222222222,145,119,0.8206896551724138,5.0,0.8333333333333334,7.0,1.0,5.0,0.8333333333333334,53,1840,fake
13,13,1.0,14,14,1.0,13,13,1.0,95,79,0.8315789473684211,143,82,0.5734265734265734,95,79,0.8315789473684211,6.0,0.46153846153846156,14.0,1.0,6.0,0.46153846153846156,123,1337,fake
16,15,0.9375,18,17,0.9444444444444444,16,15,0.9375,31,31,1.0,62,47,0.7580645161290323,31,31,1.0,0.0,0.0,0.0,0.0,0.0,0.0,197,682,fake
14,14,1.0,14,14,1.0,14,14,1.0,103,66,0.6407766990291263,166,87,0.5240963855421686,103,66,0.6407766990291263,3.0,0.21428571428571427,5.0,0.35714285714285715,3.0,0.21428571428571427,109,1782,fake
9,8,0.8888888888888888,9,8,0.8888888888888888,9,8,0.8888888888888888,53,46,0.8679245283018868,63,49,0.7777777777777778,53,46,0.8679245283018868,3.0,0.3333333333333333,5.0,0.5555555555555556,3.0,0.3333333333333333,91,638,fake
6,6,1.0,6,6,1.0,6,6,1.0,97,82,0.845360824742268,113,87,0.7699115044247787,97,82,0.845360824742268,0.0,0.0,0.0,0.0,0.0,0.0,46,1086,fake
7,7,1.0,7,7,1.0,7,7,1.0,122,101,0.8278688524590164,140,111,0.7928571428571428,122,101,0.8278688524590164,7.0,1.0,7.0,1.0,7.0,1.0,60,1446,fake
6,6,1.0,6,6,1.0,6,6,1.0,31,30,0.967741935483871,36,35,0.9722222222222222,31,30,0.967741935483871,0.0,0.0,0.0,0.0,0.0,0.0,61,398,fake
3,3,1.0,4,4,1.0,3,3,1.0,111,90,0.8108108108108109,135,98,0.725925925925926,111,90,0.8108108108108109,2.0,0.6666666666666666,3.0,0.75,2.0,0.6666666666666666,36,1591,fake
12,12,1.0,13,13,1.0,12,12,1.0,124,103,0.8306451612903226,167,110,0.6586826347305389,124,103,0.8306451612903226,3.0,0.25,6.0,0.46153846153846156,3.0,0.25,116,1770,fake
7,7,1.0,10,10,1.0,7,7,1.0,144,129,0.8958333333333334,192,145,0.7552083333333334,144,129,0.8958333333333334,2.0,0.2857142857142857,5.0,0.5,2.0,0.2857142857142857,78,2188,fake
9,9,1.0,10,10,1.0,9,9,1.0,443,306,0.690744920993228,624,276,0.4423076923076923,443,306,0.690744920993228,7.0,0.7777777777777778,10.0,1.0,7.0,0.7777777777777778,100,6725,fake
15,12,0.8,15,12,0.8,15,12,0.8,127,106,0.8346456692913385,168,120,0.7142857142857143,127,106,0.8346456692913385,7.0,0.4666666666666667,7.0,0.4666666666666667,7.0,0.4666666666666667,133,1701,fake
1,1,1.0,2,2,1.0,1,1,1.0,4,3,0.75,8,6,0.75,4,3,0.75,1.0,1.0,2.0,1.0,1.0,1.0,17,105,fake
4,4,1.0,4,4,1.0,4,4,1.0,170,140,0.8235294117647058,235,154,0.6553191489361702,170,140,0.8235294117647058,2.0,0.5,2.0,0.5,2.0,0.5,34,2511,fake
7,7,1.0,7,7,1.0,7,7,1.0,211,168,0.7962085308056872,267,178,0.6666666666666666,211,168,0.7962085308056872,4.0,0.5714285714285714,6.0,0.8571428571428571,4.0,0.5714285714285714,54,2759,fake
6,6,1.0,7,7,1.0,6,6,1.0,89,78,0.8764044943820225,118,94,0.7966101694915254,89,78,0.8764044943820225,2.0,0.3333333333333333,5.0,0.7142857142857143,2.0,0.3333333333333333,66,1277,fake
8,8,1.0,9,9,1.0,8,8,1.0,159,122,0.7672955974842768,204,132,0.6470588235294118,159,122,0.7672955974842768,6.0,0.75,9.0,1.0,6.0,0.75,71,2197,fake
7,7,1.0,8,8,1.0,7,7,1.0,161,124,0.7701863354037267,195,123,0.6307692307692307,161,124,0.7701863354037267,4.0,0.5714285714285714,5.0,0.625,4.0,0.5714285714285714,71,2418,fake
7,7,1.0,7,7,1.0,7,7,1.0,150,126,0.84,190,144,0.7578947368421053,150,126,0.84,2.0,0.2857142857142857,6.0,0.8571428571428571,2.0,0.2857142857142857,48,1959,fake
7,7,1.0,8,8,1.0,7,7,1.0,155,132,0.8516129032258064,194,140,0.7216494845360825,155,132,0.8516129032258064,7.0,1.0,8.0,1.0,7.0,1.0,66,2054,fake
5,5,1.0,5,5,1.0,5,5,1.0,72,62,0.8611111111111112,93,71,0.7634408602150538,72,62,0.8611111111111112,0.0,0.0,0.0,0.0,0.0,0.0,38,905,fake
8,8,1.0,8,8,1.0,8,8,1.0,87,77,0.8850574712643678,116,91,0.7844827586206896,87,77,0.8850574712643678,2.0,0.25,4.0,0.5,2.0,0.25,66,1235,fake
6,6,1.0,7,7,1.0,6,6,1.0,436,354,0.8119266055045872,542,365,0.6734317343173432,436,354,0.8119266055045872,2.0,0.3333333333333333,4.0,0.5714285714285714,2.0,0.3333333333333333,60,6072,fake
9,9,1.0,11,11,1.0,9,9,1.0,31,31,1.0,62,47,0.7580645161290323,31,31,1.0,0.0,0.0,0.0,0.0,0.0,0.0,90,682,fake
8,8,1.0,8,8,1.0,8,8,1.0,31,31,1.0,62,47,0.7580645161290323,31,31,1.0,0.0,0.0,0.0,0.0,0.0,0.0,76,682,fake
20,18,0.9,20,18,0.9,20,18,0.9,120,102,0.85,165,115,0.696969696969697,120,102,0.85,11.0,0.55,20.0,1.0,11.0,0.55,200,1717,fake
8,7,0.875,9,8,0.8888888888888888,8,7,0.875,96,81,0.84375,123,90,0.7317073170731707,96,81,0.84375,6.0,0.75,8.0,0.8888888888888888,6.0,0.75,64,1298,fake
9,9,1.0,10,10,1.0,9,9,1.0,138,121,0.8768115942028986,169,139,0.8224852071005917,138,121,0.8768115942028986,4.0,0.4444444444444444,10.0,1.0,4.0,0.4444444444444444,80,1739,fake
10,10,1.0,10,10,1.0,10,10,1.0,56,53,0.9464285714285714,69,56,0.8115942028985508,56,53,0.9464285714285714,3.0,0.3,4.0,0.4,3.0,0.3,80,645,fake
10,10,1.0,12,12,1.0,10,10,1.0,411,328,0.7980535279805353,568,327,0.5757042253521126,411,328,0.7980535279805353,6.0,0.6,9.0,0.75,6.0,0.6,99,6022,fake
8,8,1.0,9,9,1.0,8,8,1.0,109,99,0.908256880733945,151,113,0.7483443708609272,109,99,0.908256880733945,7.0,0.875,9.0,1.0,7.0,0.875,91,1622,fake
9,9,1.0,9,9,1.0,9,9,1.0,119,110,0.9243697478991597,147,123,0.8367346938775511,119,110,0.9243697478991597,2.0,0.2222222222222222,5.0,0.5555555555555556,2.0,0.2222222222222222,67,1537,fake
3,3,1.0,3,3,1.0,3,3,1.0,14,14,1.0,16,16,1.0,14,14,1.0,0.0,0.0,0.0,0.0,0.0,0.0,17,119,fake
8,8,1.0,9,9,1.0,8,8,1.0,113,93,0.8230088495575221,145,111,0.7655172413793103,113,93,0.8230088495575221,3.0,0.375,5.0,0.5555555555555556,3.0,0.375,100,1695,fake
10,8,0.8,10,8,0.8,10,8,0.8,502,409,0.8147410358565738,620,423,0.682258064516129,502,409,0.8147410358565738,8.0,0.8,8.0,0.8,8.0,0.8,79,6731,fake
7,7,1.0,7,7,1.0,7,7,1.0,7,7,1.0,7,7,1.0,7,7,1.0,7.0,1.0,7.0,1.0,7.0,1.0,65,65,fake
9,9,1.0,9,9,1.0,9,9,1.0,104,86,0.8269230769230769,128,96,0.75,104,86,0.8269230769230769,5.0,0.5555555555555556,6.0,0.6666666666666666,5.0,0.5555555555555556,84,1450,fake
8,8,1.0,10,10,1.0,8,8,1.0,244,198,0.8114754098360656,317,201,0.6340694006309149,244,198,0.8114754098360656,7.0,0.875,10.0,1.0,7.0,0.875,88,3316,fake
8,8,1.0,8,8,1.0,8,8,1.0,119,98,0.8235294117647058,154,107,0.6948051948051948,119,98,0.8235294117647058,6.0,0.75,8.0,1.0,6.0,0.75,63,1519,fake
4,4,1.0,5,5,1.0,4,4,1.0,119,106,0.8907563025210085,152,112,0.7368421052631579,119,106,0.8907563025210085,3.0,0.75,4.0,0.8,3.0,0.75,43,1504,fake
6,6,1.0,7,7,1.0,6,6,1.0,190,163,0.8578947368421053,242,170,0.7024793388429752,190,163,0.8578947368421053,3.0,0.5,6.0,0.8571428571428571,3.0,0.5,63,2553,fake
6,6,1.0,8,8,1.0,6,6,1.0,72,69,0.9583333333333334,95,85,0.8947368421052632,72,69,0.9583333333333334,3.0,0.5,4.0,0.5,3.0,0.5,70,1084,fake
7,7,1.0,7,7,1.0,7,7,1.0,69,56,0.8115942028985508,91,60,0.6593406593406593,69,56,0.8115942028985508,4.0,0.5714285714285714,6.0,0.8571428571428571,4.0,0.5714285714285714,59,936,fake
10,10,1.0,11,11,1.0,10,10,1.0,409,309,0.7555012224938875,547,290,0.5301645338208409,409,309,0.7555012224938875,5.0,0.5,6.0,0.5454545454545454,5.0,0.5,89,5891,fake
8,8,1.0,8,8,1.0,8,8,1.0,281,225,0.800711743772242,361,254,0.703601108033241,281,225,0.800711743772242,6.0,0.75,8.0,1.0,6.0,0.75,86,3908,fake
8,8,1.0,9,9,1.0,8,8,1.0,7,7,1.0,10,10,1.0,7,7,1.0,0.0,0.0,0.0,0.0,0.0,0.0,73,92,fake
0,0,0.0,0,0,0.0,0,0,0.0,4,4,1.0,5,5,1.0,4,4,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4,67,fake
9,9,1.0,9,9,1.0,9,9,1.0,89,76,0.8539325842696629,117,84,0.717948717948718,89,76,0.8539325842696629,3.0,0.3333333333333333,3.0,0.3333333333333333,3.0,0.3333333333333333,67,1237,fake
4,4,1.0,4,4,1.0,4,4,1.0,171,150,0.8771929824561403,193,155,0.8031088082901554,171,150,0.8771929824561403,3.0,0.75,4.0,1.0,3.0,0.75,30,2155,fake
11,11,1.0,11,11,1.0,11,11,1.0,397,282,0.7103274559193955,563,294,0.522202486678508,397,282,0.7103274559193955,5.0,0.45454545454545453,8.0,0.7272727272727273,5.0,0.45454545454545453,90,6225,fake
12,12,1.0,13,13,1.0,12,12,1.0,297,247,0.8316498316498316,385,261,0.6779220779220779,297,247,0.8316498316498316,8.0,0.6666666666666666,10.0,0.7692307692307693,8.0,0.6666666666666666,105,4073,fake
8,8,1.0,10,10,1.0,8,8,1.0,198,170,0.8585858585858586,251,183,0.7290836653386454,198,170,0.8585858585858586,6.0,0.75,10.0,1.0,6.0,0.75,68,2523,fake
12,12,1.0,13,13,1.0,12,12,1.0,181,155,0.856353591160221,229,167,0.7292576419213974,181,155,0.856353591160221,5.0,0.4166666666666667,10.0,0.7692307692307693,5.0,0.4166666666666667,119,2417,fake
9,9,1.0,10,10,1.0,9,9,1.0,97,84,0.865979381443299,121,96,0.7933884297520661,97,84,0.865979381443299,6.0,0.6666666666666666,7.0,0.7,6.0,0.6666666666666666,77,1387,fake
8,8,1.0,10,10,1.0,8,8,1.0,277,234,0.8447653429602888,376,251,0.6675531914893617,277,234,0.8447653429602888,4.0,0.5,10.0,1.0,4.0,0.5,77,4077,fake
10,10,1.0,12,12,1.0,10,10,1.0,18,17,0.9444444444444444,32,24,0.75,18,17,0.9444444444444444,1.0,0.1,1.0,0.08333333333333333,1.0,0.1,111,867,fake
5,5,1.0,6,6,1.0,5,5,1.0,103,93,0.9029126213592233,132,108,0.8181818181818182,103,93,0.9029126213592233,2.0,0.4,5.0,0.8333333333333334,2.0,0.4,43,1518,fake
9,9,1.0,10,10,1.0,9,9,1.0,136,102,0.75,180,103,0.5722222222222222,136,102,0.75,7.0,0.7777777777777778,10.0,1.0,7.0,0.7777777777777778,94,1781,fake
5,5,1.0,6,6,1.0,5,5,1.0,93,79,0.8494623655913979,123,94,0.7642276422764228,93,79,0.8494623655913979,3.0,0.6,5.0,0.8333333333333334,3.0,0.6,66,1347,fake
9,9,1.0,10,10,1.0,9,9,1.0,132,118,0.8939393939393939,161,125,0.7763975155279503,132,118,0.8939393939393939,5.0,0.5555555555555556,6.0,0.6,5.0,0.5555555555555556,99,1739,fake
6,6,1.0,7,7,1.0,6,6,1.0,31,31,1.0,62,47,0.7580645161290323,31,31,1.0,0.0,0.0,0.0,0.0,0.0,0.0,56,682,fake
13,12,0.9230769230769231,14,13,0.9285714285714286,13,12,0.9230769230769231,32,30,0.9375,40,36,0.9,32,30,0.9375,1.0,0.07692307692307693,1.0,0.07142857142857142,1.0,0.07692307692307693,102,449,fake
6,6,1.0,6,6,1.0,6,6,1.0,282,237,0.8404255319148937,349,251,0.7191977077363897,282,237,0.8404255319148937,5.0,0.8333333333333334,5.0,0.8333333333333334,5.0,0.8333333333333334,53,3774,fake
7,7,1.0,7,7,1.0,7,7,1.0,179,149,0.8324022346368715,240,176,0.7333333333333333,179,149,0.8324022346368715,4.0,0.5714285714285714,6.0,0.8571428571428571,4.0,0.5714285714285714,51,2538,fake
12,12,1.0,13,13,1.0,12,12,1.0,181,157,0.8674033149171271,235,174,0.7404255319148936,181,157,0.8674033149171271,8.0,0.6666666666666666,12.0,0.9230769230769231,8.0,0.6666666666666666,109,2710,fake
